Name,OriginID,DestinationID,DestinationRank,Total_Length,Total_WalkTime,Total_PublicTransitTime,Shape_Length
Block Group 2; Census Tract 5014.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,1,1,1,,,214.833,2319.153
Block Group 1; Census Tract 5031.10; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,2,1,1,,,184.667,3571.357
Block Group 2; Census Tract 5036.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,3,1,1,,,214.833,3420.204
Block Group 3; Census Tract 5031.18; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,4,1,1,,,154.667,5595.16
Block Group 2; Census Tract 5080.04; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,5,1,1,,,289.833,13950.719
Block Group 3; Census Tract 5026.04; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,6,1,1,,,199.667,10261.628
Block Group 2; Census Tract 5093.04; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,7,1,1,,,244.833,25717.183
Block Group 1; Census Tract 5094.04; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,8,1,1,,,274.833,26705.632
Block Group 2; Census Tract 5094.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,9,1,1,,,274.833,27839.691
Block Group 3; Census Tract 5094.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,10,1,1,,,274.833,27421.752
Block Group 3; Census Tract 5043.11; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,11,1,1,,,259.833,4934.906
Block Group 4; Census Tract 5091.08; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,12,1,1,,,214.833,20894.59
Block Group 3; Census Tract 5095; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,13,1,1,,,244.833,24184.818
Block Group 1; Census Tract 5096; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,14,1,1,,,244.833,23494.646
Block Group 3; Census Tract 5097; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,15,1,1,,,214.833,22093.822
Block Group 3; Census Tract 5034.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,16,1,1,,,169.667,6141.654
Block Group 2; Census Tract 5031.11; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,17,1,1,,,169.667,4964.8
Block Group 4; Census Tract 5043.15; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,18,1,1,,,304.833,10755.007
Block Group 5; Census Tract 5024; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,19,1,1,,,169.667,4333.195
Block Group 2; Census Tract 5034.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,20,1,1,,,169.667,5762.417
Block Group 2; Census Tract 5113.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,21,1,1,,,334.833,34415.493
Block Group 2; Census Tract 5116.08; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,22,1,1,,,349.833,34698.975
Block Group 1; Census Tract 5123.11; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,23,1,1,,,319.833,37377.295
Block Group 1; Census Tract 5123.07; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,24,1,1,,,364.833,41324.218
Block Group 4; Census Tract 5098.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,25,1,1,,,244.833,23940.926
Block Group 1; Census Tract 5101; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,26,1,1,,,289.833,22543.199
Block Group 1; Census Tract 5117.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,27,1,1,,,289.833,24245.883
Block Group 3; Census Tract 5102; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,28,1,1,,,274.833,25041.935
Block Group 3; Census Tract 5031.10; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,29,1,1,,,184.667,4209.957
Block Group 1; Census Tract 5031.23; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,30,1,1,,,154.667,5126.024
