STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,GEOIDFQ,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Length,Shape_Area,GEO_ID,NAME,B19013_001E,B19013_001M,Field5
6,85,501401,2,60855014012,1500000US060855014012,Block Group 2,G5030,S,580482,0,37.349244,-121.868680,0.034508555,5.90309E-05,1500000US060855014012,Block Group 2; Census Tract 5014.01; Santa Clara County; California,100625,50717,
6,85,503110,1,60855031101,1500000US060855031101,Block Group 1,G5030,S,489400,0,37.334567,-121.850496,0.043556128,4.97589E-05,1500000US060855031101,Block Group 1; Census Tract 5031.10; Santa Clara County; California,91500,14111,
6,85,503602,2,60855036022,1500000US060855036022,Block Group 2,G5030,S,391911,0,37.346104,-121.854036,0.026585305,3.98529E-05,1500000US060855036022,Block Group 2; Census Tract 5036.02; Santa Clara County; California,75536,23558,
6,85,503118,3,60855031183,1500000US060855031183,Block Group 3,G5030,S,186915,0,37.315546,-121.839900,0.017621937,1.89996E-05,1500000US060855031183,Block Group 3; Census Tract 5031.18; Santa Clara County; California,87273,24594,
6,85,508004,2,60855080042,1500000US060855080042,Block Group 2,G5030,S,373399,0,37.313550,-122.004311,0.024399634,3.79542E-05,1500000US060855080042,Block Group 2; Census Tract 5080.04; Santa Clara County; California,"250,000+",***,
6,85,502604,3,60855026043,1500000US060855026043,Block Group 3,G5030,S,614453,0,37.279953,-121.940645,0.047777872,6.24287E-05,1500000US060855026043,Block Group 3; Census Tract 5026.04; Santa Clara County; California,114233,17504,
6,85,509304,2,60855093042,1500000US060855093042,Block Group 2,G5030,S,403629,0,37.412860,-122.092725,0.034493113,4.10806E-05,1500000US060855093042,Block Group 2; Census Tract 5093.04; Santa Clara County; California,"250,000+",***,
6,85,509404,1,60855094041,1500000US060855094041,Block Group 1,G5030,S,208813,0,37.405304,-122.106341,0.021808994,2.12504E-05,1500000US060855094041,Block Group 1; Census Tract 5094.04; Santa Clara County; California,241842,65650,
6,85,509401,2,60855094012,1500000US060855094012,Block Group 2,G5030,S,245241,0,37.407060,-122.116401,0.023718885,2.49582E-05,1500000US060855094012,Block Group 2; Census Tract 5094.01; Santa Clara County; California,204844,45313,
6,85,509401,3,60855094013,1500000US060855094013,Block Group 3,G5030,S,187707,0,37.404211,-122.113730,0.017860343,1.91022E-05,1500000US060855094013,Block Group 3; Census Tract 5094.01; Santa Clara County; California,154395,27062,
