GEO_ID,Name,Median_Household_Income,Margin_Of_Error
1500000US060855001001,Block Group 1; Census Tract 5001; Santa Clara County; California,98712,50634
1500000US060855001002,Block Group 2; Census Tract 5001; Santa Clara County; California,123456,94710
1500000US060855001003,Block Group 3; Census Tract 5001; Santa Clara County; California,103137,97663
1500000US060855001004,Block Group 4; Census Tract 5001; Santa Clara County; California,189167,43039
1500000US060855002001,Block Group 1; Census Tract 5002; Santa Clara County; California,86447,70501
1500000US060855002002,Block Group 2; Census Tract 5002; Santa Clara County; California,-,**
1500000US060855002003,Block Group 3; Census Tract 5002; Santa Clara County; California,121731,33231
1500000US060855002004,Block Group 4; Census Tract 5002; Santa Clara County; California,152472,63913
1500000US060855003001,Block Group 1; Census Tract 5003; Santa Clara County; California,175613,36648
1500000US060855003002,Block Group 2; Census Tract 5003; Santa Clara County; California,103646,32619
1500000US060855004001,Block Group 1; Census Tract 5004; Santa Clara County; California,150691,4141
1500000US060855004002,Block Group 2; Census Tract 5004; Santa Clara County; California,177019,97846
1500000US060855005001,Block Group 1; Census Tract 5005; Santa Clara County; California,"250,000+",***
1500000US060855005002,Block Group 2; Census Tract 5005; Santa Clara County; California,133250,25030
1500000US060855005003,Block Group 3; Census Tract 5005; Santa Clara County; California,149118,69228
1500000US060855005004,Block Group 4; Census Tract 5005; Santa Clara County; California,"250,000+",***
1500000US060855005005,Block Group 5; Census Tract 5005; Santa Clara County; California,135363,41157
1500000US060855006001,Block Group 1; Census Tract 5006; Santa Clara County; California,"250,000+",***
1500000US060855006002,Block Group 2; Census Tract 5006; Santa Clara County; California,221875,52985
1500000US060855006003,Block Group 3; Census Tract 5006; Santa Clara County; California,124837,14550
1500000US060855006004,Block Group 4; Census Tract 5006; Santa Clara County; California,77422,28486
1500000US060855008001,Block Group 1; Census Tract 5008; Santa Clara County; California,122690,36919
1500000US060855008002,Block Group 2; Census Tract 5008; Santa Clara County; California,181023,46838
1500000US060855008003,Block Group 3; Census Tract 5008; Santa Clara County; California,145949,42565
1500000US060855009011,Block Group 1; Census Tract 5009.01; Santa Clara County; California,-,**
1500000US060855009012,Block Group 2; Census Tract 5009.01; Santa Clara County; California,158396,11401
1500000US060855009013,Block Group 3; Census Tract 5009.01; Santa Clara County; California,53853,20740
1500000US060855009021,Block Group 1; Census Tract 5009.02; Santa Clara County; California,36360,8822
1500000US060855009022,Block Group 2; Census Tract 5009.02; Santa Clara County; California,43438,33414
1500000US060855010001,Block Group 1; Census Tract 5010; Santa Clara County; California,67857,39096
1500000US060855010002,Block Group 2; Census Tract 5010; Santa Clara County; California,-,**
