GEO_ID,Name,Population,Margin_Of_Error
1500000US060855001001,Block Group 1; Census Tract 5001; Santa Clara County; California,1051,535
1500000US060855001002,Block Group 2; Census Tract 5001; Santa Clara County; California,1102,442
1500000US060855001003,Block Group 3; Census Tract 5001; Santa Clara County; California,1824,749
1500000US060855001004,Block Group 4; Census Tract 5001; Santa Clara County; California,3581,817
1500000US060855002001,Block Group 1; Census Tract 5002; Santa Clara County; California,732,240
1500000US060855002002,Block Group 2; Census Tract 5002; Santa Clara County; California,972,106
1500000US060855002003,Block Group 3; Census Tract 5002; Santa Clara County; California,1139,369
1500000US060855002004,Block Group 4; Census Tract 5002; Santa Clara County; California,2480,926
1500000US060855003001,Block Group 1; Census Tract 5003; Santa Clara County; California,2263,329
1500000US060855003002,Block Group 2; Census Tract 5003; Santa Clara County; California,1841,453
1500000US060855004001,Block Group 1; Census Tract 5004; Santa Clara County; California,1590,303
1500000US060855004002,Block Group 2; Census Tract 5004; Santa Clara County; California,1061,296
1500000US060855005001,Block Group 1; Census Tract 5005; Santa Clara County; California,1052,293
1500000US060855005002,Block Group 2; Census Tract 5005; Santa Clara County; California,2050,681
1500000US060855005003,Block Group 3; Census Tract 5005; Santa Clara County; California,610,178
1500000US060855005004,Block Group 4; Census Tract 5005; Santa Clara County; California,893,333
1500000US060855005005,Block Group 5; Census Tract 5005; Santa Clara County; California,1056,342
1500000US060855006001,Block Group 1; Census Tract 5006; Santa Clara County; California,998,699
1500000US060855006002,Block Group 2; Census Tract 5006; Santa Clara County; California,709,270
1500000US060855006003,Block Group 3; Census Tract 5006; Santa Clara County; California,2641,500
1500000US060855006004,Block Group 4; Census Tract 5006; Santa Clara County; California,1486,642
1500000US060855008001,Block Group 1; Census Tract 5008; Santa Clara County; California,1832,446
1500000US060855008002,Block Group 2; Census Tract 5008; Santa Clara County; California,1505,306
1500000US060855008003,Block Group 3; Census Tract 5008; Santa Clara County; California,1127,366
1500000US060855009011,Block Group 1; Census Tract 5009.01; Santa Clara County; California,949,409
1500000US060855009012,Block Group 2; Census Tract 5009.01; Santa Clara County; California,1835,387
